time,datetime,date,year,month,day,hour,close,high,low,open,volumefrom,volumeto
1722614400,2024-08-02 16:00:00,2024-08-02,2024,8,2,16,3024.84,3045.7,3014.24,3036.51,29659.27,89884753.97
1722618000,2024-08-02 17:00:00,2024-08-02,2024,8,2,17,3022.94,3040.05,3015.14,3024.84,21678.53,65647732.63
1722621600,2024-08-02 18:00:00,2024-08-02,2024,8,2,18,3012.12,3031.26,3003.99,3022.94,22124.24,66799287.18
1722625200,2024-08-02 19:00:00,2024-08-02,2024,8,2,19,3008.36,3020.41,2990.94,3012.12,29524.04,88830804.64
1722628800,2024-08-02 20:00:00,2024-08-02,2024,8,2,20,3016.63,3038.44,2986.03,3008.36,25139.96,75734592.51
1722632400,2024-08-02 21:00:00,2024-08-02,2024,8,2,21,3000.54,3017.11,2963.83,3016.63,25586.93,76547644.36
1722636000,2024-08-02 22:00:00,2024-08-02,2024,8,2,22,2974.95,3006.12,2967.77,3000.54,21861.48,65396614.37
1722639600,2024-08-02 23:00:00,2024-08-02,2024,8,2,23,2985.72,2996.37,2966.55,2974.95,17860.22,53298118.17
1722643200,2024-08-03 00:00:00,2024-08-03,2024,8,3,0,2958.93,2999.78,2939.12,2985.72,23025.45,68576681.0
1722646800,2024-08-03 01:00:00,2024-08-03,2024,8,3,1,2952.98,2963.69,2910.08,2958.93,34534.92,101368178.21
1722650400,2024-08-03 02:00:00,2024-08-03,2024,8,3,2,2958.44,2968.99,2950.79,2952.98,13780.79,40791431.84
1722654000,2024-08-03 03:00:00,2024-08-03,2024,8,3,3,2979.44,2980.8,2954.78,2958.44,12988.69,38571996.17
1722657600,2024-08-03 04:00:00,2024-08-03,2024,8,3,4,2962.43,2980.1,2957.75,2979.44,8739.19,25972290.13
1722661200,2024-08-03 05:00:00,2024-08-03,2024,8,3,5,2972.52,2972.52,2959.53,2962.43,7201.98,21351929.64
1722664800,2024-08-03 06:00:00,2024-08-03,2024,8,3,6,2987.15,2987.84,2970.81,2972.52,7663.88,22830554.08
1722668400,2024-08-03 07:00:00,2024-08-03,2024,8,3,7,2981.61,2993.59,2980.25,2987.15,7578.55,22637291.58
1722672000,2024-08-03 08:00:00,2024-08-03,2024,8,3,8,2979.95,2985.56,2971.78,2981.61,8325.72,24795619.18
1722675600,2024-08-03 09:00:00,2024-08-03,2024,8,3,9,2987.35,2987.65,2974.44,2979.95,8373.63,24960822.29
1722679200,2024-08-03 10:00:00,2024-08-03,2024,8,3,10,2989.5,2993.35,2984.33,2987.35,6246.84,18669824.26
1722682800,2024-08-03 11:00:00,2024-08-03,2024,8,3,11,2994.96,3003.6,2986.65,2989.5,7626.27,22832441.08
1722686400,2024-08-03 12:00:00,2024-08-03,2024,8,3,12,3007.94,3016.01,2993.05,2994.96,10358.69,31140062.02
1722690000,2024-08-03 13:00:00,2024-08-03,2024,8,3,13,3005.55,3010.08,2997.82,3007.94,7825.14,23496977.23
1722693600,2024-08-03 14:00:00,2024-08-03,2024,8,3,14,2998.41,3012.97,2997.01,3005.55,9772.92,29379821.35
1722697200,2024-08-03 15:00:00,2024-08-03,2024,8,3,15,2940.95,3003.56,2936.82,2998.41,21655.74,64345777.76
1722700800,2024-08-03 16:00:00,2024-08-03,2024,8,3,16,2933.5,2953.07,2906.0,2940.95,33989.57,99574743.8
1722704400,2024-08-03 17:00:00,2024-08-03,2024,8,3,17,2901.05,2938.57,2897.2,2933.5,29705.03,86522239.22
1722708000,2024-08-03 18:00:00,2024-08-03,2024,8,3,18,2902.02,2925.98,2891.72,2901.05,31788.83,92366977.5
1722711600,2024-08-03 19:00:00,2024-08-03,2024,8,3,19,2892.21,2918.95,2876.43,2902.02,25628.24,74327493.76
1722715200,2024-08-03 20:00:00,2024-08-03,2024,8,3,20,2892.82,2918.17,2883.67,2892.21,22372.41,64919962.16
1722718800,2024-08-03 21:00:00,2024-08-03,2024,8,3,21,2911.02,2918.27,2857.64,2892.82,22768.63,65728189.5
1722722400,2024-08-03 22:00:00,2024-08-03,2024,8,3,22,2907.86,2921.11,2899.19,2911.02,13849.87,40313250.0
1722726000,2024-08-03 23:00:00,2024-08-03,2024,8,3,23,2902.09,2912.61,2894.95,2907.86,17406.06,50544623.98
1722729600,2024-08-04 00:00:00,2024-08-04,2024,8,4,0,2912.58,2917.32,2899.69,2902.09,11602.4,33744005.64
1722733200,2024-08-04 01:00:00,2024-08-04,2024,8,4,1,2905.88,2913.73,2875.62,2912.58,13819.0,40013495.03
1722736800,2024-08-04 02:00:00,2024-08-04,2024,8,4,2,2919.11,2932.92,2903.95,2905.88,14896.74,43455245.0
1722740400,2024-08-04 03:00:00,2024-08-04,2024,8,4,3,2914.26,2919.63,2907.71,2919.11,8304.97,24190868.89
1722744000,2024-08-04 04:00:00,2024-08-04,2024,8,4,4,2900.72,2917.96,2898.81,2914.26,7418.94,21592230.6
1722747600,2024-08-04 05:00:00,2024-08-04,2024,8,4,5,2913.69,2916.74,2898.85,2900.72,6918.63,20121571.91
1722751200,2024-08-04 06:00:00,2024-08-04,2024,8,4,6,2916.56,2920.54,2908.93,2913.69,5214.71,15200072.83
1722754800,2024-08-04 07:00:00,2024-08-04,2024,8,4,7,2891.87,2917.06,2886.96,2916.56,9289.86,26934921.72
1722758400,2024-08-04 08:00:00,2024-08-04,2024,8,4,8,2904.51,2912.46,2874.24,2891.87,12282.94,35568827.41
1722762000,2024-08-04 09:00:00,2024-08-04,2024,8,4,9,2911.11,2914.35,2902.93,2904.51,6027.38,17533654.5
1722765600,2024-08-04 10:00:00,2024-08-04,2024,8,4,10,2914.2,2915.04,2904.03,2911.11,6119.03,17802569.88
1722769200,2024-08-04 11:00:00,2024-08-04,2024,8,4,11,2913.09,2923.78,2909.87,2914.2,8881.29,25884565.97
1722772800,2024-08-04 12:00:00,2024-08-04,2024,8,4,12,2922.26,2923.29,2908.89,2913.09,9079.85,26479317.44
1722776400,2024-08-04 13:00:00,2024-08-04,2024,8,4,13,2909.58,2924.48,2909.09,2922.26,7764.36,22635495.69
1722780000,2024-08-04 14:00:00,2024-08-04,2024,8,4,14,2863.1,2912.22,2850.72,2909.58,28553.79,82082155.58
1722783600,2024-08-04 15:00:00,2024-08-04,2024,8,4,15,2824.98,2867.82,2817.74,2863.1,32822.78,93239850.36
1722787200,2024-08-04 16:00:00,2024-08-04,2024,8,4,16,2808.72,2836.17,2803.68,2824.98,33881.27,95627041.23
1722790800,2024-08-04 17:00:00,2024-08-04,2024,8,4,17,2698.62,2814.02,2631.57,2808.72,79133.27,215507436.72
1722794400,2024-08-04 18:00:00,2024-08-04,2024,8,4,18,2728.7,2737.85,2682.52,2698.62,46281.8,125097346.45
1722798000,2024-08-04 19:00:00,2024-08-04,2024,8,4,19,2756.6,2766.84,2708.57,2728.7,36666.91,100573057.32
1722801600,2024-08-04 20:00:00,2024-08-04,2024,8,4,20,2751.23,2770.9,2734.01,2756.6,26246.07,72271348.76
1722805200,2024-08-04 21:00:00,2024-08-04,2024,8,4,21,2730.03,2752.12,2726.47,2751.23,14959.16,40974271.66
1722808800,2024-08-04 22:00:00,2024-08-04,2024,8,4,22,2721.62,2751.11,2718.24,2730.03,22412.73,61264155.6
1722812400,2024-08-04 23:00:00,2024-08-04,2024,8,4,23,2688.08,2723.45,2680.39,2721.62,22465.28,60733118.41
1722816000,2024-08-05 00:00:00,2024-08-05,2024,8,5,0,2525.33,2695.99,2492.19,2688.08,81262.32,211354853.96
1722819600,2024-08-05 01:00:00,2024-08-05,2024,8,5,1,2318.75,2539.16,2121.38,2525.33,225597.34,525642103.12
1722823200,2024-08-05 02:00:00,2024-08-05,2024,8,5,2,2334.51,2338.39,2217.36,2318.75,88434.53,202047683.16
1722826800,2024-08-05 03:00:00,2024-08-05,2024,8,5,3,2314.21,2345.47,2286.58,2334.51,57573.08,133393050.64
1722830400,2024-08-05 04:00:00,2024-08-05,2024,8,5,4,2337.17,2385.64,2308.07,2314.21,48591.96,114279085.65
1722834000,2024-08-05 05:00:00,2024-08-05,2024,8,5,5,2311.46,2364.5,2263.7,2337.17,51728.13,120127941.55
1722837600,2024-08-05 06:00:00,2024-08-05,2024,8,5,6,2268.15,2322.21,2160.8,2311.46,102844.23,229813665.03
1722841200,2024-08-05 07:00:00,2024-08-05,2024,8,5,7,2358.28,2367.91,2257.14,2268.15,52605.06,122269177.13
1722844800,2024-08-05 08:00:00,2024-08-05,2024,8,5,8,2325.3,2362.2,2295.04,2358.28,65119.3,151596862.89
1722848400,2024-08-05 09:00:00,2024-08-05,2024,8,5,9,2316.95,2337.7,2276.28,2325.3,45153.88,104569753.35
1722852000,2024-08-05 10:00:00,2024-08-05,2024,8,5,10,2273.35,2318.69,2225.8,2316.95,46615.42,105947797.64
1722855600,2024-08-05 11:00:00,2024-08-05,2024,8,5,11,2291.19,2300.9,2226.45,2273.35,52013.48,117494525.53
1722859200,2024-08-05 12:00:00,2024-08-05,2024,8,5,12,2228.97,2306.48,2201.67,2291.19,55138.86,124151940.03
1722862800,2024-08-05 13:00:00,2024-08-05,2024,8,5,13,2338.05,2347.86,2184.65,2228.97,93736.54,212534207.22
1722866400,2024-08-05 14:00:00,2024-08-05,2024,8,5,14,2404.36,2442.84,2337.84,2338.05,93851.43,224180771.64
1722870000,2024-08-05 15:00:00,2024-08-05,2024,8,5,15,2453.44,2463.2,2384.07,2404.36,58862.41,142753393.78
1722873600,2024-08-05 16:00:00,2024-08-05,2024,8,5,16,2456.37,2518.84,2446.35,2453.44,52687.46,130770620.36
1722877200,2024-08-05 17:00:00,2024-08-05,2024,8,5,17,2471.44,2495.35,2429.95,2456.37,40136.83,98835255.92
1722880800,2024-08-05 18:00:00,2024-08-05,2024,8,5,18,2375.53,2473.33,2373.2,2471.44,42987.68,104165418.94
1722884400,2024-08-05 19:00:00,2024-08-05,2024,8,5,19,2404.31,2413.11,2365.27,2375.53,56465.61,135042933.66
1722888000,2024-08-05 20:00:00,2024-08-05,2024,8,5,20,2435.96,2442.21,2402.61,2404.31,35574.88,86202466.92
1722891600,2024-08-05 21:00:00,2024-08-05,2024,8,5,21,2429.56,2469.12,2423.47,2435.96,23950.29,58524340.74
1722895200,2024-08-05 22:00:00,2024-08-05,2024,8,5,22,2453.19,2462.72,2420.78,2429.56,27550.59,67334191.15
1722898800,2024-08-05 23:00:00,2024-08-05,2024,8,5,23,2420.39,2474.89,2411.95,2453.19,28199.46,68895507.0
1722902400,2024-08-06 00:00:00,2024-08-06,2024,8,6,0,2541.52,2542.37,2417.17,2420.39,43827.72,109500242.54
1722906000,2024-08-06 01:00:00,2024-08-06,2024,8,6,1,2517.21,2548.07,2500.98,2541.52,32564.05,82284074.21
1722909600,2024-08-06 02:00:00,2024-08-06,2024,8,6,2,2508.66,2524.76,2502.25,2517.21,22850.28,57409293.85
1722913200,2024-08-06 03:00:00,2024-08-06,2024,8,6,3,2493.34,2510.09,2484.32,2508.66,17920.94,44760886.1
1722916800,2024-08-06 04:00:00,2024-08-06,2024,8,6,4,2501.23,2505.73,2480.1,2493.34,19400.43,48385551.15
1722920400,2024-08-06 05:00:00,2024-08-06,2024,8,6,5,2526.68,2527.96,2487.39,2501.23,23849.92,59824489.81
1722924000,2024-08-06 06:00:00,2024-08-06,2024,8,6,6,2516.68,2537.57,2503.1,2526.68,22652.41,57130661.67
1722927600,2024-08-06 07:00:00,2024-08-06,2024,8,6,7,2525.65,2530.83,2496.83,2516.68,20705.14,52018928.79
1722931200,2024-08-06 08:00:00,2024-08-06,2024,8,6,8,2461.93,2526.77,2442.39,2525.65,29489.84,73233157.04
1722934800,2024-08-06 09:00:00,2024-08-06,2024,8,6,9,2464.73,2471.52,2445.41,2461.93,24317.43,59734566.24
1722938400,2024-08-06 10:00:00,2024-08-06,2024,8,6,10,2458.21,2475.26,2447.4,2464.73,24222.51,59588952.86
1722942000,2024-08-06 11:00:00,2024-08-06,2024,8,6,11,2459.81,2471.62,2443.78,2458.21,22971.18,56447209.73
1722945600,2024-08-06 12:00:00,2024-08-06,2024,8,6,12,2440.18,2468.99,2428.39,2459.81,26479.77,64944350.7
1722949200,2024-08-06 13:00:00,2024-08-06,2024,8,6,13,2453.44,2469.07,2416.38,2440.18,42715.23,104330280.28
1722952800,2024-08-06 14:00:00,2024-08-06,2024,8,6,14,2524.52,2555.03,2451.7,2453.44,52792.57,133247910.26
1722956400,2024-08-06 15:00:00,2024-08-06,2024,8,6,15,2528.53,2534.73,2496.08,2524.52,36781.04,92510759.03
1722960000,2024-08-06 16:00:00,2024-08-06,2024,8,6,16,2532.25,2549.49,2512.45,2528.53,36964.7,93525303.56
1722963600,2024-08-06 17:00:00,2024-08-06,2024,8,6,17,2484.18,2543.98,2482.65,2532.25,38375.23,96617732.63
1722967200,2024-08-06 18:00:00,2024-08-06,2024,8,6,18,2501.05,2521.1,2483.12,2484.18,28803.51,72155805.29
1722970800,2024-08-06 19:00:00,2024-08-06,2024,8,6,19,2494.25,2515.67,2488.63,2501.05,34703.12,86762480.08
1722974400,2024-08-06 20:00:00,2024-08-06,2024,8,6,20,2489.75,2503.82,2475.1,2494.25,31357.42,78046166.34
1722978000,2024-08-06 21:00:00,2024-08-06,2024,8,6,21,2493.76,2497.28,2476.37,2489.75,17817.34,44316843.29
1722981600,2024-08-06 22:00:00,2024-08-06,2024,8,6,22,2476.47,2514.71,2458.84,2493.76,33935.2,84242361.97
1722985200,2024-08-06 23:00:00,2024-08-06,2024,8,6,23,2462.39,2485.52,2447.43,2476.47,28878.22,71171213.17
1722988800,2024-08-07 00:00:00,2024-08-07,2024,8,7,0,2459.97,2472.77,2434.29,2462.39,31559.87,77511609.62
1722992400,2024-08-07 01:00:00,2024-08-07,2024,8,7,1,2501.3,2505.53,2427.1,2459.97,40547.76,100071372.13
1722996000,2024-08-07 02:00:00,2024-08-07,2024,8,7,2,2496.56,2530.74,2482.23,2501.3,37362.23,93475338.75
1722999600,2024-08-07 03:00:00,2024-08-07,2024,8,7,3,2508.05,2516.78,2492.2,2496.56,12176.91,30498348.02
1723003200,2024-08-07 04:00:00,2024-08-07,2024,8,7,4,2518.17,2535.37,2505.79,2508.05,26646.65,67180880.55
1723006800,2024-08-07 05:00:00,2024-08-07,2024,8,7,5,2506.79,2535.43,2504.9,2518.17,24291.23,61208340.07
1723010400,2024-08-07 06:00:00,2024-08-07,2024,8,7,6,2502.0,2513.18,2495.04,2506.79,19696.73,49317805.04
1723014000,2024-08-07 07:00:00,2024-08-07,2024,8,7,7,2512.25,2520.7,2486.91,2502.0,20135.84,50402486.42
1723017600,2024-08-07 08:00:00,2024-08-07,2024,8,7,8,2525.73,2527.88,2505.84,2512.25,18455.75,46461113.6
1723021200,2024-08-07 09:00:00,2024-08-07,2024,8,7,9,2519.29,2539.65,2514.82,2525.73,22292.53,56361042.61
1723024800,2024-08-07 10:00:00,2024-08-07,2024,8,7,10,2510.13,2552.44,2509.75,2519.29,21547.75,54518731.39
1723028400,2024-08-07 11:00:00,2024-08-07,2024,8,7,11,2474.74,2515.76,2472.91,2510.13,25416.81,63250373.97
1723032000,2024-08-07 12:00:00,2024-08-07,2024,8,7,12,2470.95,2484.46,2451.32,2474.74,30585.6,75496751.03
1723035600,2024-08-07 13:00:00,2024-08-07,2024,8,7,13,2449.04,2488.03,2437.62,2470.95,38740.29,95356428.16
1723039200,2024-08-07 14:00:00,2024-08-07,2024,8,7,14,2390.99,2456.51,2365.69,2449.04,55549.67,133639471.78
1723042800,2024-08-07 15:00:00,2024-08-07,2024,8,7,15,2413.32,2422.22,2380.85,2390.99,39050.73,93622576.29
1723046400,2024-08-07 16:00:00,2024-08-07,2024,8,7,16,2392.71,2416.27,2378.35,2413.32,39215.69,93979019.64
